,date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography,month,other_plu
0,2015-01-04,1.22,40873,2819,28287,49,9716.46,9186.93,529.53,0.0,conventional,2015,Albany,1,9718
1,2015-01-04,1.79,1373,57,153,0,1162.65,1162.65,0.0,0.0,organic,2015,Albany,1,1163
2,2015-01-04,1.0,435021,364302,23821,82,46815.79,16707.15,30108.64,0.0,conventional,2015,Atlanta,1,46816
3,2015-01-04,1.76,3846,1500,938,0,1408.19,1071.35,336.84,0.0,organic,2015,Atlanta,1,1408
4,2015-01-04,1.08,788025,53987,552906,39995,141136.68,137146.07,3990.61,0.0,conventional,2015,Baltimore/Washington,1,141137
5,2015-01-04,1.29,19137,8040,6557,657,3881.69,3881.69,0.0,0.0,organic,2015,Baltimore/Washington,1,3883
6,2015-01-04,1.01,80034,44562,24964,2752,7755.62,6064.3,1691.32,0.0,conventional,2015,Boise,1,7756
7,2015-01-04,1.64,1505,1,1129,0,374.35,186.67,187.68,0.0,organic,2015,Boise,1,375
8,2015-01-04,1.02,491738,7193,396752,128,87663.13,87406.84,256.29,0.0,conventional,2015,Boston,1,87665
9,2015-01-04,1.83,2192,8,939,0,1244.04,1244.04,0.0,0.0,organic,2015,Boston,1,1245
10,2015-01-04,1.4,116253,3267,55693,109,57182.88,57182.88,0.0,0.0,conventional,2015,Buffalo/Rochester,1,57184
11,2015-01-04,1.73,379,0,59,0,320.0,320.0,0.0,0.0,organic,2015,Buffalo/Rochester,1,320
12,2015-01-04,0.93,5777334,2843648,2267755,137479,528451.74,477193.38,47882.56,3375.8,conventional,2015,California,1,528452
13,2015-01-04,1.24,142349,107490,25711,2,9144.15,9144.15,0.0,0.0,organic,2015,California,1,9146
14,2015-01-04,1.19,166006,29419,47220,38568,50797.56,44329.03,6468.53,0.0,conventional,2015,Charlotte,1,50799
15,2015-01-04,2.13,2965,151,882,905,1025.63,1025.63,0.0,0.0,organic,2015,Charlotte,1,1027
16,2015-01-04,1.11,783068,30270,550752,124506,77539.48,72888.46,4651.02,0.0,conventional,2015,Chicago,1,77540
17,2015-01-04,1.49,17723,1189,15628,0,905.55,905.55,0.0,0.0,organic,2015,Chicago,1,906
18,2015-01-04,0.88,228569,3274,168764,1447,55083.44,17525.31,37445.46,112.67,conventional,2015,Cincinnati/Dayton,1,55084
19,2015-01-04,1.34,8764,144,6921,0,1698.11,585.96,1112.15,0.0,organic,2015,Cincinnati/Dayton,1,1699
20,2015-01-04,0.89,158638,80298,51860,7609,18869.56,16518.15,2132.21,219.2,conventional,2015,Columbus,1,18871
21,2015-01-04,1.44,3930,358,2432,0,1140.08,444.17,695.91,0.0,organic,2015,Columbus,1,1140
22,2015-01-04,0.74,1086363,612795,374420,9817,89330.21,54563.33,34760.08,6.8,conventional,2015,Dallas/Ft. Worth,1,89331
23,2015-01-04,1.35,9895,4634,1647,0,3613.34,3613.34,0.0,0.0,organic,2015,Dallas/Ft. Worth,1,3614
24,2015-01-04,0.99,668086,117454,429518,5553,115559.9,67894.33,47661.52,4.05,conventional,2015,Denver,1,115561
25,2015-01-04,1.42,22480,3199,6916,7,12356.44,1076.67,11279.77,0.0,organic,2015,Denver,1,12358
26,2015-01-04,1.01,369694,121634,117865,74062,56132.13,46679.86,1060.51,8391.76,conventional,2015,Detroit,1,56133
27,2015-01-04,1.7,7446,361,5025,0,2059.09,746.43,1312.66,0.0,organic,2015,Detroit,1,2060
28,2015-01-04,0.95,258979,1097,189348,22612,45921.57,43899.46,1097.68,924.43,conventional,2015,Grand Rapids,1,45922
29,2015-01-04,1.6,1012,23,772,0,216.17,210.0,6.17,0.0,organic,2015,Grand Rapids,1,217
30,2015-01-04,1.02,3382800,467259,2059657,318102,537780.56,412779.64,111072.91,13928.01,conventional,2015,Great Lakes,1,537782
31,2015-01-04,1.54,61615,3633,42963,0,15018.11,9763.55,5254.56,0.0,organic,2015,Great Lakes,1,15019
32,2015-01-04,1.05,203939,32679,121020,1286,48952.57,47583.64,1368.93,0.0,conventional,2015,Harrisburg/Scranton,1,48954
33,2015-01-04,1.68,2896,161,206,0,2528.08,2528.08,0.0,0.0,organic,2015,Harrisburg/Scranton,1,2529
34,2015-01-04,1.06,332208,6387,267593,165,58061.57,55401.31,2660.26,0.0,conventional,2015,Hartford/Springfield,1,58063
35,2015-01-04,2.32,4801,87,4364,0,349.53,349.53,0.0,0.0,organic,2015,Hartford/Springfield,1,350
36,2015-01-04,0.71,1062990,506426,436347,4378,115837.55,90299.85,25537.7,0.0,conventional,2015,Houston,1,115839
37,2015-01-04,1.22,8938,7009,671,0,1256.67,1256.67,0.0,0.0,organic,2015,Houston,1,1258
38,2015-01-04,1.02,160130,4007,118435,1201,36485.45,20325.41,16160.04,0.0,conventional,2015,Indianapolis,1,36487
